frame,class,conf,x1,y1,x2,y2
0,55,0.28348761796951294,4,0,1813,1080
1,25,0.27221590280532837,603,0,1553,181
2,25,0.27417275309562683,603,0,1553,181
3,25,0.29311391711235046,601,0,1553,183
4,25,0.265353262424469,599,0,1554,190
5,25,0.2983364164829254,591,0,1556,188
5,0,0.2533468008041382,495,36,1515,1050
6,25,0.3140203356742859,591,0,1556,187
7,25,0.3168940246105194,591,0,1557,187
8,25,0.30749163031578064,597,0,1556,181
8,0,0.2659095227718353,501,25,1476,1046
9,25,0.33315712213516235,598,0,1557,178
9,0,0.2776198387145996,501,25,1481,1045
10,25,0.3941003084182739,598,0,1551,172
11,25,0.34786781668663025,597,0,1552,170
12,25,0.34702780842781067,598,0,1552,170
13,25,0.3883998394012451,590,0,1552,180
14,25,0.3878021836280823,590,0,1552,181
15,25,0.3685857057571411,608,0,1547,183
16,25,0.3331499397754669,608,0,1547,179
17,25,0.3306106925010681,607,0,1547,178
18,25,0.478368878364563,635,0,1530,178
18,0,0.3232645094394684,509,21,1501,1039
19,25,0.4722922146320343,634,0,1530,179
19,0,0.34154775738716125,509,21,1498,1040
20,25,0.3041526675224304,653,0,1556,182
21,25,0.27275773882865906,653,0,1557,183
22,25,0.25966784358024597,653,0,1557,183
23,25,0.3093058168888092,659,0,1565,180
23,29,0.25828325748443604,458,27,1456,997
25,75,0.2627793848514557,395,36,1490,991
26,75,0.2721879482269287,394,37,1491,991
27,75,0.2625640332698822,394,37,1491,991
58,41,0.43140149116516113,44,750,111,841
58,39,0.3792226016521454,1325,648,1367,759
58,71,0.2769840359687805,1048,769,1252,884
58,45,0.26260045170783997,1049,769,1252,885
59,41,0.43836459517478943,44,750,111,841
59,39,0.3762560486793518,1325,648,1367,759
59,71,0.28208789229393005,1048,769,1252,884
59,45,0.2591789960861206,1049,769,1252,885
60,41,0.4377300441265106,44,750,111,841
60,39,0.3814249038696289,1325,648,1367,759
60,71,0.2851536273956299,1048,769,1252,884
60,45,0.25291386246681213,1049,769,1252,885
61,41,0.4476277232170105,44,750,111,841
61,39,0.3806864321231842,1325,648,1367,759
61,71,0.28475213050842285,1048,769,1252,884
61,45,0.2583261728286743,1049,769,1252,885
62,41,0.439268559217453,44,750,111,841
62,39,0.38463887572288513,1325,648,1367,759
62,71,0.2736508548259735,1048,769,1252,884
62,45,0.25427988171577454,1049,769,1252,885
63,41,0.4441240429878235,44,750,111,841
63,39,0.3856072425842285,1325,648,1367,759
63,71,0.27712056040763855,1048,769,1252,884
63,45,0.2560116648674011,1049,769,1252,885
64,41,0.44745561480522156,44,750,111,841
64,39,0.3840216398239136,1325,648,1367,759
